site_no,long,lat,begin_date,end_date,geometry,comid,reachcode,comid-long,comid-lat
01464930,-75.07155919,40.23344136,1994-01-01,1995-12-31,POINT (-75.07155919 40.23344136),4482901,02040201000443,-75.07132538879341,40.233649664544366
01465050,-75.03822499,40.29177378,1985-11-21,1992-12-31,POINT (-75.03822499 40.29177378),4482723,02040201000160,-75.03842636035412,40.291493859589224
01460800,-75.0615593,40.38816075,1990-12-12,1992-12-31,POINT (-75.0615593 40.38816075),2591293,02040105000383,-75.06122231474076,40.38891724055239
01471835,-75.7413032,40.4034273,1981-10-01,1982-09-29,POINT (-75.7413032 40.4034273),4782005,02040203000295,-75.74143392267632,40.4032750206522
01471800,-75.73352518,40.41203865,1981-10-01,1982-09-30,POINT (-75.73352518 40.41203865),4780673,02040203000120,-75.73349091465563,40.41184768329976
01470729,-75.7399152,40.48287227,1974-10-01,1977-09-29,POINT (-75.7399152 40.48287227),4780523,02040203000438,-75.73961751386656,40.48299212505877
01470736,-75.7710283,40.51592769,1974-10-01,1976-09-29,POINT (-75.7710283 40.51592769),4779075,02040203000437,-75.77134800421923,40.516090724818
01451467,-75.5083333,40.5216111,2020-07-22,2023-12-03,POINT (-75.5083333 40.5216111),4188015,02040106000369,-75.50877204813239,40.52175613055786
01451380,-75.60046519,40.53120755,2019-11-13,2023-12-03,POINT (-75.60046519 40.53120755),4187863,02040106000326,-75.60023738139874,40.53153635897553
01451400,-75.6014722,40.5340833,2020-03-10,2023-12-03,POINT (-75.6014722 40.5340833),4187845,02040106000338,-75.60059955986954,40.53406263422705
01451420,-75.5724085,40.53870787,1986-11-14,1994-09-29,POINT (-75.5724085 40.53870787),4187849,02040106000325,-75.57218675367966,40.53873489024732
01451630,-75.4968056,40.5875,2020-01-17,2023-12-03,POINT (-75.4968056 40.5875),4188295,02040106000331,-75.49636351370835,40.58798993930489
01461300,-74.9866667,40.41138889,2006-03-13,2012-10-30,POINT (-74.9866667 40.41138889),2589541,02040105000036,-74.98660917124324,40.41119772481802
01460880,-75.01777778,40.4161111,2005-11-01,2016-04-19,POINT (-75.01777778 40.4161111),2591267,02040105000283,-75.01711088288218,40.41552014042162
01455090,-75.1472222,40.69,2011-03-06,2014-03-31,POINT (-75.1472222 40.69),2588047,02040105000291,-75.14756209166366,40.689896623348325
01457790,-75.2055556,40.5822222,1990-12-12,1993-01-11,POINT (-75.2055556 40.5822222),2588095,02040105000346,-75.20465797088971,40.58169741439598
01452300,-75.3676805,40.71787485,1962-10-01,1968-09-29,POINT (-75.3676805 40.71787485),4187605,02040106000836,-75.36815034652622,40.71772072016995
01455355,-74.5686111,40.98138889,1968-10-01,1971-11-05,POINT (-74.5686111 40.98138889),2586157,02040105000908,-74.57001082840557,40.98068603722213
01451800,-75.626854,40.66176219,1966-02-01,2023-12-03,POINT (-75.626854 40.66176219),4187713,02040106000119,-75.62670632596132,40.661953142175136
01449360,-75.5024077,40.8975919,1966-10-01,2023-12-03,POINT (-75.5024077 40.8975919),4187925,02040106000018,-75.5027535658028,40.8978113852797
01446776,-75.2610116,40.74870845,2005-11-17,2023-10-24,POINT (-75.2610116 40.74870845),2588233,02040105000657,-75.25968513730639,40.74833731995984
01446775,-75.2651783,40.7489862,2005-11-29,2023-12-03,POINT (-75.2651783 40.7489862),2588233,02040105000657,-75.26458171654909,40.74914918614357
01447550,-75.4504633,41.0989769,1988-03-01,1989-10-03,POINT (-75.4504633 41.0989769),4186509,02040106000689,-75.45318424333986,41.09871695534151
01440272,-75.2865707,41.19203435,1978-01-01,1979-12-31,POINT (-75.2865707 41.19203435),4152906,02040104000700,-75.2860595031741,41.19203346285258
01448500,-75.5432431,41.0356434,1948-10-01,1996-09-30,POINT (-75.5432431 41.0356434),4186205,02040106000740,-75.5457496167202,41.03454886712903
01447680,-75.52138889,41.06527778,1965-04-01,2023-12-03,POINT (-75.52138889 41.06527778),4185837,02040106000063,-75.52114678385448,41.06564696185491
01447720,-75.6054666,41.0848082,1961-10-01,2023-12-03,POINT (-75.6054666 41.0848082),4185779,02040106000053,-75.6053281751743,41.08509504355838
01447500,-75.625467,41.1303626,1943-10-01,2023-12-03,POINT (-75.625467 41.1303626),4185679,02040106000091,-75.62682624443774,41.1299884525017
01439590,-74.9954499,41.2587041,2005-10-01,2023-12-03,POINT (-74.9954499 41.2587041),4150904,02040104000335,-74.99563622066914,41.25838682074046
01431620,-75.4312947,41.33786276,1992-08-01,1995-05-22,POINT (-75.4312947 41.33786276),2743470,02040103000422,-75.43137157340304,41.33851650042324
01431683,-75.2782332,41.4661993,1992-08-01,1994-10-04,POINT (-75.2782332 41.4661993),2742566,02040103000528,-75.27831185053273,41.46580336373006
