,cannonsville_gages,cannonsville_hru,pepacton_gages,pepacton_hru
1981-06-23,425.42117374351255,400.651855702664,193.14282213696254,297.80336699316143
1981-06-24,271.08599256326175,373.6745555903289,132.8079099510235,296.1223671383838
1981-06-25,180.0934222528365,217.07592591148455,114.23147076533483,215.65707808859685
1981-06-26,280.0761907498656,236.97591012383904,119.91776451235393,203.4188129477577
1981-06-27,208.78233128897543,268.05095557010367,106.50643017328849,198.63619025295887
1981-06-28,154.46172533151764,180.4980152306204,98.26608583715625,178.51336399288098
1981-06-29,144.15089776848444,157.35890212976688,93.72208810927572,167.77035755233086
1981-06-30,137.60842749971036,149.32944831424777,89.65009865527566,159.89375507765374
1981-07-01,131.5757037306474,142.77153505754248,85.88336192861247,152.81684352020966
1981-07-02,138.50972003469613,142.36751796738997,97.04551502014283,156.5855822355296
1981-07-03,166.45244774158084,159.2316688290295,267.44417672362533,246.54533700698565
1981-07-04,171.38165456421325,181.2015317962249,182.26549754366496,335.80568767229465
1981-07-05,230.12545542714983,202.84145125356747,470.88813657200427,406.8807031686812
1981-07-06,354.88547506851614,301.4302406502188,303.1407082001017,570.2082238251273
1981-07-07,250.09975383751384,335.3019754918414,181.15241404004303,370.6998174106905
1981-07-08,150.6533642835855,186.31609012752023,154.18600405565968,261.93317409547706
1981-07-09,136.5473667892856,148.37070284994073,144.6719573070055,234.30253534012624
1981-07-10,140.47788439427146,143.4990261769625,140.89423922876946,224.7420828888892
1981-07-11,129.75373866851615,143.3300109966702,131.1336224289035,214.3407163057136
1981-07-12,118.13599364476174,128.05973896619403,124.18210266961111,200.0271877508877
1981-07-13,112.54426073157377,120.67305171566086,118.49683580470474,190.0927874874017
1981-07-14,107.67562257949893,115.34791968092289,113.27789546138888,181.45889088975437
1981-07-15,103.79927271703335,110.80404646095757,108.4437671704894,173.66890647602406
1981-07-16,99.11010771670718,106.43559872979137,103.93518516435742,166.27419154683773
1981-07-17,94.87621919901848,101.69764109226551,99.71363828188657,159.37973709352408
1981-07-18,91.0835691276661,97.58881085562577,95.74473891619263,152.98857075410098
1981-07-19,87.50432966798206,93.75912489942552,92.00107930015402,146.98441939426766
1981-07-20,94.38262771687873,94.76233818074375,91.69866436708305,145.73198318021713
1981-07-21,208.15313512366214,156.3625429475444,351.67963817888483,415.6787628361818
1981-07-22,218.39421648839613,235.32921035057944,140.00762082992892,476.1855267639273
1981-07-23,145.03557450645144,189.9602814795591,100.58002845913317,243.5397110023575
1981-07-24,108.56908813357639,126.6882583921652,92.87761009235774,187.4500638403646
1981-07-25,101.68626572245103,111.5775635954566,88.71707455385226,172.5145183960887
1981-07-26,97.08035197462921,105.98963849797802,84.96423586913251,162.0225297746528
1981-07-27,207.75810486998253,157.40550014160496,177.68893051756322,289.80261163572675
1981-07-28,148.97397305412224,199.50846558651537,106.67472912488032,286.54465616424375
1981-07-29,243.04016629290348,194.27755522481465,175.37834837654583,290.2530294974556
1981-07-30,178.99920664863996,231.00917524165945,122.5666975293812,322.1941372090316
1981-07-31,134.59265307911863,156.74308844654885,100.09186744056711,220.90278146992875
1981-08-01,124.33883539639493,136.0228214336348,93.863564850773,181.810806964766
1981-08-02,118.16980543143065,128.36783811705826,89.17706103377917,170.49174061575326
1981-08-03,112.59764527230855,122.27960323364157,85.07171948426908,161.58820671828263
1981-08-04,122.16268028513473,125.7087632523222,92.38201558142705,163.36654464223315
1981-08-05,156.47558488571343,145.87022887967663,104.74780271524483,184.1853233038775
1981-08-06,138.08198179823626,158.9640926899415,91.04401161082347,183.99768864287617
1981-08-07,102.29955690689579,123.4122751607584,79.6576518155087,158.4277766942212
1981-08-08,136.84415869912496,124.00197423332094,85.57700958681635,156.39130057770734
1981-08-09,121.47422237787715,139.7259580378972,92.24273313784171,164.9589441714334
1981-08-10,92.00016903827223,109.3424073632835,76.48992390176258,155.62605767218864
1981-08-11,83.6234515331537,91.86619038339914,70.19104874631485,136.06005053303983
1981-08-12,104.20592885877392,99.22586558008584,73.41093314902545,135.79427914234682
1981-08-13,85.99323321031211,102.54935412853474,67.22787809165226,133.38610375256795
1981-08-14,74.56247726130586,82.92316898552646,63.453000273185395,123.12873242248187
1981-08-15,71.25882631590714,77.36439106772777,61.078820475270504,117.8190443002388
1981-08-16,143.14620372131054,110.48632198532002,200.3709047947688,205.86342847589452
1981-08-17,103.65946731708995,138.36035522366845,86.50105001069292,244.83019486289933
1981-08-18,68.64201855610948,82.96607860446984,66.0911368513852,147.95990069478407
1981-08-19,63.78759903363498,69.66533441466352,61.98095058794591,128.36130946439437
1981-08-20,61.34413576711995,66.37112125206464,58.7749586797964,121.0139223360146
1981-08-21,59.06495937531975,63.88532195727464,56.022682244001835,115.0520297022609
1981-08-22,56.88752003541195,61.531890602144045,53.58419349149548,109.78293362588563
1981-08-23,54.805022830010195,59.28134962955456,51.37650481489831,105.02920662943303
1981-08-24,59.63837372654014,60.27176694889186,50.06810167657663,102.00341280804112
1981-08-25,75.7742582605981,72.06504326620684,58.776639536651984,111.57556160679984
1981-08-26,58.68938512545832,72.62695118588903,50.62955656003261,112.19020171046049
1981-08-27,48.01100238121716,54.15108111141099,47.09013060577309,100.18706668565166
1981-08-28,45.833432552622526,49.71902339583089,45.16449427072462,95.08755778632776
1981-08-29,48.67722705894562,49.70545326582259,44.98397875042076,93.19501775082486
1981-08-30,45.19092750915451,50.64506642474003,42.18917423231413,90.89231659101598
1981-08-31,46.94722841814979,47.88846118157591,48.41062149026085,92.0454127472369
1981-09-01,48.34708947738794,51.84159488659796,44.129353338411654,95.2895318143582
1981-09-02,40.35415276052624,46.56299676061299,41.2683676241665,88.81304919971579
1981-09-03,68.74252335235587,57.11721961563708,46.01524144608709,92.65598970150552
